km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats,car_brand,car_age,price
16.2,Diesel,Individual,Manual,First_Owner,24.3,1.248,88.5,5.0,Domestic,3,6.5
10.0,CNG,Individual,Manual,Second_Owner,33.44,0.796,40.3,4.0,Domestic,1,3.3
15.0,Petrol,Individual,Manual,First_Owner,23.95,0.998,67.1,5.0,Domestic,1,3.66
5.0,Petrol,Individual,Manual,First_Owner,17.0,1.591,121.3,5.0,International,1,11.49
42.0,Petrol,Individual,Manual,First_Owner,20.63,1.198,67.0,5.0,International,4,1.5
60.0,Diesel,Individual,Manual,Second_Owner,13.93,2.179,138.03,7.0,Domestic,9,4.25
76.0,Petrol,Individual,Manual,First_Owner,16.1,0.796,37.0,4.0,Domestic,8,1.5
5.0,Petrol,Individual,Automatic,First_Owner,16.0,1.368,160.77,5.0,International,1,21.0
28.9,Petrol,Dealer,Manual,First_Owner,17.8,1.497,117.3,5.0,International,2,9.25
86.3,Petrol,Dealer,Manual,First_Owner,16.8,1.497,116.3,5.0,International,7,4.25
23.3,Petrol,Dealer,Automatic,First_Owner,18.5,1.197,83.14,5.0,Domestic,2,6.75
32.6,Diesel,Dealer,Manual,First_Owner,24.3,1.248,88.5,5.0,Domestic,2,8.19999
10.3,Petrol,Dealer,Manual,First_Owner,23.95,0.998,67.05,5.0,Domestic,2,3.9
77.0,Diesel,Dealer,Manual,First_Owner,12.55,2.982,168.5,7.0,International,6,15.0
99.0,Diesel,Dealer,Manual,First_Owner,12.99,2.494,100.0,7.0,International,7,7.0
27.8,Diesel,Dealer,Automatic,Second_Owner,14.8,2.143,120.7,5.0,International,6,14.5
49.8,Diesel,Dealer,Manual,First_Owner,24.7,1.498,98.63,5.0,International,5,4.25
151.0,Diesel,Dealer,Manual,First_Owner,13.5,2.477,175.56,7.0,International,7,10.9
54.7,Diesel,Dealer,Manual,First_Owner,26.0,1.498,98.6,5.0,International,5,6.0
64.0,Petrol,Dealer,Manual,First_Owner,20.65,1.462,103.25,5.0,Domestic,2,8.5
63.0,Diesel,Dealer,Manual,First_Owner,27.3,1.498,98.6,5.0,International,5,5.25
127.7,Diesel,Dealer,Automatic,Second_Owner,11.36,2.755,171.5,7.0,International,4,16.5
99.0,Diesel,Dealer,Manual,First_Owner,12.99,2.494,100.6,7.0,International,4,9.5
33.9,Diesel,Dealer,Automatic,Second_Owner,17.68,1.968,174.33,5.0,International,7,17.5
25.0,Petrol,Dealer,Automatic,First_Owner,14.28,1.798,138.03,5.0,International,2,15.9
50.0,Diesel,Dealer,Automatic,First_Owner,18.53,1.968,187.74,5.0,International,7,16.89999
59.0,Diesel,Dealer,Automatic,First_Owner,14.84,2.143,170.0,5.0,International,7,14.25
120.0,Diesel,Individual,Manual,First_Owner,21.12,1.248,88.8,5.0,Domestic,9,2.65
110.0,Petrol,Individual,Manual,>Two_Owners,20.36,1.197,78.9,5.0,International,9,1.9
60.0,Diesel,Individual,Manual,First_Owner,21.27,1.396,88.76,5.0,International,7,4.25
147.0,Diesel,Individual,Manual,Second_Owner,26.59,1.248,74.0,5.0,Domestic,5,6.3
25.0,Petrol,Individual,Manual,>Two_Owners,18.16,1.196,86.8,5.0,International,3,6.0
30.0,Petrol,Individual,Manual,First_Owner,21.4,1.197,83.1,5.0,Domestic,1,6.5
40.0,Diesel,Individual,Manual,First_Owner,22.0,1.498,108.495,5.0,International,4,5.4
135.0,Diesel,Individual,Manual,First_Owner,25.1,1.498,98.6,5.0,International,5,6.3
30.0,Petrol,Individual,Automatic,First_Owner,20.51,0.998,67.0,5.0,Domestic,2,4.48
80.0,Diesel,Individual,Manual,First_Owner,21.66,1.498,108.62,5.0,International,3,5.0
70.0,Diesel,Individual,Manual,First_Owner,24.3,1.248,88.5,5.0,Domestic,4,7.45
9.85,Diesel,Individual,Automatic,First_Owner,24.3,1.248,88.5,5.0,Domestic,1,10.25
60.0,Petrol,Individual,Manual,Second_Owner,20.36,1.197,78.9,5.0,International,9,2.35
70.0,Diesel,Individual,Manual,First_Owner,25.2,1.248,74.0,5.0,Domestic,4,6.3
78.0,Diesel,Individual,Manual,Second_Owner,12.55,2.982,168.5,7.0,International,5,17.0
120.0,Diesel,Individual,Manual,Second_Owner,22.9,1.248,74.0,5.0,Domestic,7,4.5
120.0,Petrol,Individual,Manual,Second_Owner,16.02,1.373,93.7,7.0,Domestic,8,4.5
170.0,Diesel,Individual,Manual,First_Owner,20.54,1.598,103.6,5.0,International,7,4.5
140.0,Diesel,Individual,Manual,First_Owner,12.99,2.494,100.6,8.0,International,4,12.0
90.0,Diesel,Individual,Manual,First_Owner,22.77,1.498,98.59,5.0,International,5,6.1
30.0,Petrol,Individual,Automatic,Second_Owner,15.71,1.998,189.0,5.0,International,4,25.0
10.0,Petrol,Dealer,Manual,First_Owner,23.1,0.998,67.04,5.0,Domestic,3,4.84999
49.0,Petrol,Dealer,Manual,First_Owner,19.02,1.198,67.05,5.0,International,4,2.75
32.0,Petrol,Dealer,Manual,First_Owner,24.7,0.796,47.3,5.0,Domestic,4,3.15
38.0,Petrol,Dealer,Manual,First_Owner,24.7,0.796,47.3,5.0,Domestic,4,2.75
28.0,Petrol,Dealer,Manual,First_Owner,19.81,1.086,68.05,5.0,International,8,2.9
32.0,Petrol,Dealer,Manual,First_Owner,14.0,0.796,35.0,5.0,Domestic,3,2.8
44.0,LPG,Dealer,Manual,First_Owner,26.2,0.998,58.2,5.0,Domestic,10,2.25
42.0,Petrol,Dealer,Manual,First_Owner,16.47,1.198,74.0,5.0,International,5,4.55
45.0,Petrol,Dealer,Manual,Second_Owner,19.81,1.086,68.05,5.0,International,5,3.51
12.0,Petrol,Dealer,Manual,Second_Owner,15.04,1.598,103.6,5.0,International,8,5.35
55.5,Petrol,Dealer,Manual,First_Owner,18.2,0.998,67.1,5.0,Domestic,11,1.75
61.5,Petrol,Dealer,Manual,First_Owner,18.5,1.197,82.85,5.0,International,7,5.25
150.0,Diesel,Individual,Manual,First_Owner,26.59,1.248,74.0,5.0,Domestic,4,6.0
72.0,Petrol,Dealer,Automatic,First_Owner,19.1,1.197,82.0,5.0,International,4,5.65
68.0,Petrol,Dealer,Manual,>Two_Owners,19.7,0.796,46.3,5.0,Domestic,12,1.2
110.0,Diesel,Individual,Manual,First_Owner,22.54,1.396,88.73,5.0,International,3,7.25
77.0,Petrol,Dealer,Manual,Second_Owner,21.79,0.998,67.05,5.0,Domestic,11,1.85
100.0,Diesel,Individual,Manual,Second_Owner,18.8,1.248,90.0,5.0,Domestic,10,2.0
10.0,Petrol,Individual,Manual,First_Owner,21.21,1.197,81.8,5.0,Domestic,1,6.15
100.0,Petrol,Individual,Manual,>Two_Owners,15.37,1.196,73.0,7.0,Domestic,4,2.7
35.0,Petrol,Individual,Manual,First_Owner,21.4,1.197,83.1,5.0,Domestic,2,6.1
70.0,Diesel,Individual,Automatic,Second_Owner,11.79,2.179,120.0,8.0,Domestic,6,6.25
5.0,Petrol,Individual,Manual,Second_Owner,19.0,1.194,94.68,5.0,International,0,4.0
37.8,Petrol,Individual,Manual,First_Owner,17.0,1.591,121.3,5.0,International,3,8.66
114.0,Petrol,Individual,Manual,First_Owner,14.3,1.798,160.0,5.0,International,10,7.0
48.0,Petrol,Individual,Manual,First_Owner,15.8,1.172,65.0,5.0,Domestic,10,3.0
32.0,Diesel,Individual,Manual,First_Owner,15.1,2.179,155.0,7.0,Domestic,1,17.0
100.0,Diesel,Individual,Manual,First_Owner,19.09,1.405,69.01,5.0,Domestic,4,3.75
150.0,Diesel,Individual,Manual,Second_Owner,22.32,1.582,126.32,5.0,International,7,5.22
69.0,Diesel,Individual,Manual,First_Owner,21.9,1.396,88.76,5.0,International,7,4.51999
100.0,Petrol,Individual,Manual,Second_Owner,14.53,1.798,138.1,5.0,International,11,3.0
13.0,Petrol,Individual,Manual,First_Owner,21.63,0.998,67.04,5.0,Domestic,0,4.75
60.0,Diesel,Individual,Manual,First_Owner,24.3,1.248,88.5,5.0,Domestic,4,7.8
40.0,Petrol,Individual,Manual,First_Owner,20.85,1.197,83.14,5.0,Domestic,3,5.95
35.0,Petrol,Individual,Manual,First_Owner,20.51,0.998,67.04,5.0,Domestic,3,4.4
70.0,Diesel,Individual,Manual,>Two_Owners,20.45,1.461,83.8,5.0,International,6,4.0
50.0,Diesel,Individual,Manual,First_Owner,19.67,1.582,126.2,5.0,International,4,11.4
76.139,Diesel,Individual,Manual,First_Owner,23.0,1.498,98.96,5.0,International,3,8.5
175.0,Diesel,Individual,Manual,>Two_Owners,19.3,1.248,73.9,5.0,Domestic,8,3.7
25.0,Petrol,Individual,Manual,First_Owner,23.01,0.999,67.0,5.0,International,2,3.5
40.0,Petrol,Individual,Manual,Second_Owner,23.1,0.998,67.04,5.0,Domestic,5,3.6
65.0,Petrol,Individual,Manual,>Two_Owners,19.7,0.796,46.3,5.0,Domestic,12,1.05
90.0,Diesel,Individual,Manual,Second_Owner,20.77,1.248,88.76,7.0,Domestic,7,6.25
80.0,Petrol,Individual,Manual,Second_Owner,17.92,1.086,62.1,5.0,International,11,1.35
110.0,Diesel,Individual,Manual,Second_Owner,20.77,1.248,88.76,7.0,Domestic,5,7.0
1.303,Petrol,Dealer,Manual,First_Owner,17.8,1.198,86.7,5.0,International,1,6.9
31.8,Diesel,Dealer,Automatic,First_Owner,17.01,1.968,188.0,5.0,International,2,39.75
20.0,Petrol,Dealer,Automatic,First_Owner,22.37,2.487,214.56,5.0,International,1,51.5
45.0,Diesel,Dealer,Automatic,First_Owner,19.33,1.999,177.0,5.0,International,3,32.0
17.0,Petrol,Individual,Automatic,First_Owner,9.5,3.604,280.0,5.0,International,3,41.0
21.0,Diesel,Dealer,Automatic,First_Owner,12.83,1.999,148.31,7.0,International,1,45.0
37.0,Diesel,Dealer,Automatic,First_Owner,13.5,2.987,254.79,5.0,International,3,60.0
29.5,Diesel,Dealer,Automatic,First_Owner,22.48,1.995,187.74,5.0,International,2,37.9
7.5,Diesel,Dealer,Automatic,First_Owner,16.78,1.995,190.0,5.0,International,1,58.0
50.0,Petrol,Dealer,Automatic,First_Owner,14.67,1.798,177.46,5.0,International,2,18.64999
35.0,Diesel,Dealer,Automatic,First_Owner,15.0,2.143,204.0,5.0,International,4,27.0
19.0,Petrol,Dealer,Automatic,First_Owner,13.96,1.451,141.0,5.0,International,1,17.5
41.0,Petrol,Dealer,Automatic,First_Owner,18.0,1.497,117.6,5.0,International,3,7.95
39.0,Petrol,Dealer,Automatic,First_Owner,14.28,1.798,138.03,5.0,International,7,6.25
22.0,Diesel,Dealer,Automatic,First_Owner,18.0,1.969,190.0,5.0,International,2,34.0
53.0,Diesel,Dealer,Automatic,First_Owner,12.07,2.967,241.4,7.0,International,5,26.5
40.0,Diesel,Dealer,Manual,First_Owner,26.21,1.248,88.5,5.0,Domestic,5,5.35
47.0,Diesel,Dealer,Automatic,First_Owner,13.5,2.987,282.0,5.0,International,3,58.5
72.2,Petrol,Dealer,Automatic,Second_Owner,10.8,2.497,150.0,5.0,International,10,9.75
49.9,Petrol,Dealer,Manual,First_Owner,16.3,1.797,147.5,5.0,International,4,8.05
9.0,Diesel,Dealer,Automatic,First_Owner,13.6,1.999,177.0,5.0,International,3,26.25
11.0,Petrol,Dealer,Manual,First_Owner,17.0,1.198,108.5,5.0,Domestic,2,8.11
49.0,Petrol,Individual,Manual,First_Owner,15.04,1.598,103.6,5.0,International,9,3.75
95.0,Petrol,Individual,Manual,First_Owner,16.3,1.797,147.5,5.0,International,8,5.5
11.0,Petrol,Dealer,Automatic,First_Owner,14.3,1.598,103.5,5.0,International,4,6.45
18.0,Petrol,Dealer,Automatic,First_Owner,15.04,1.991,183.0,5.0,International,2,25.5
46.1,Petrol,Dealer,Manual,First_Owner,16.02,1.373,93.7,7.0,Domestic,6,5.99
16.0,Petrol,Dealer,Automatic,First_Owner,14.74,1.991,181.04,5.0,International,3,27.0
18.0,Petrol,Dealer,Automatic,First_Owner,15.6,1.497,116.3,5.0,International,3,8.75
9.654,Petrol,Dealer,Automatic,First_Owner,19.56,1.197,81.8,5.0,International,1,8.94999
11.0,Petrol,Dealer,Manual,First_Owner,23.95,0.998,67.05,5.0,Domestic,9,1.75
24.3,Petrol,Dealer,Manual,First_Owner,21.21,1.197,81.8,5.0,Domestic,8,3.4
42.163,Diesel,Dealer,Automatic,Second_Owner,11.36,2.755,171.5,7.0,International,4,15.25
8.0,Diesel,Dealer,Automatic,First_Owner,21.5,1.497,108.5,5.0,Domestic,2,10.25
30.0,Diesel,Dealer,Automatic,First_Owner,22.69,1.995,190.0,5.0,International,4,21.5
41.0,Petrol,Dealer,Automatic,First_Owner,19.16,2.494,157.7,5.0,International,4,19.0
12.0,Diesel,Dealer,Automatic,First_Owner,18.12,1.995,190.0,5.0,International,4,29.0
71.0,Petrol,Dealer,Automatic,First_Owner,12.1,2.362,164.7,5.0,International,11,4.5
20.0,Petrol,Individual,Manual,First_Owner,17.5,1.373,91.1,7.0,Domestic,4,8.5
30.0,Petrol,Individual,Automatic,First_Owner,42.0,1.969,400.0,4.0,International,3,100.0
100.0,Diesel,Individual,Manual,Second_Owner,20.54,1.598,103.6,5.0,International,9,3.0
9.5,Petrol,Individual,Manual,First_Owner,18.16,1.196,86.8,5.0,International,2,5.75
120.0,Diesel,Individual,Manual,First_Owner,20.0,1.399,68.0,5.0,International,9,1.6
36.6,Petrol,Individual,Manual,First_Owner,20.4,1.197,81.8,5.0,Domestic,5,5.15
50.0,Petrol,Individual,Automatic,Second_Owner,20.51,0.998,67.0,5.0,Domestic,5,3.9
14.0,Petrol,Individual,Manual,Second_Owner,18.6,1.197,81.83,5.0,International,4,5.5
40.0,Petrol,Individual,Manual,Second_Owner,16.1,0.796,37.0,4.0,Domestic,21,0.4
120.0,Diesel,Individual,Manual,First_Owner,21.1,1.248,73.9,5.0,Domestic,10,2.2
70.0,Petrol,Individual,Manual,First_Owner,18.9,1.197,82.0,5.0,International,5,4.25
13.0,Petrol,Individual,Manual,First_Owner,19.44,0.999,75.0,5.0,International,1,4.8
60.0,Petrol,Individual,Manual,Second_Owner,18.9,1.197,82.0,5.0,International,6,4.0
35.0,Petrol,Individual,Manual,First_Owner,19.1,1.197,85.8,5.0,Domestic,6,4.87
44.0,Petrol,Individual,Manual,Second_Owner,19.1,1.197,82.0,5.0,International,4,3.86
120.0,Petrol,Individual,Manual,Second_Owner,13.0,1.493,100.0,5.0,International,15,1.0
60.0,Diesel,Individual,Manual,First_Owner,21.43,1.364,87.2,5.0,International,10,3.0
60.0,Petrol,Individual,Manual,First_Owner,18.5,0.796,53.0,5.0,International,20,1.0
30.0,Diesel,Individual,Manual,Second_Owner,13.0,2.982,168.5,7.0,International,6,17.5
15.0,Petrol,Individual,Manual,Second_Owner,18.15,1.198,82.0,6.0,Domestic,4,4.5
90.0,Diesel,Individual,Manual,First_Owner,22.95,1.248,74.0,5.0,Domestic,3,4.9
47.0,Petrol,Individual,Manual,Second_Owner,17.0,1.497,118.0,5.0,International,11,3.45
90.0,Petrol,Individual,Manual,First_Owner,17.3,0.993,60.0,5.0,Domestic,15,0.85
120.6,Petrol,Individual,Manual,Second_Owner,18.9,0.998,67.1,5.0,Domestic,10,2.15
100.0,Petrol,Individual,Manual,>Two_Owners,16.2,1.599,103.2,5.0,International,10,3.2
60.0,Petrol,Individual,Manual,Second_Owner,20.85,1.197,83.14,5.0,Domestic,4,4.59999
86.0,Petrol,Individual,Manual,First_Owner,15.3,1.341,83.0,5.0,International,15,0.65
5.0,Petrol,Individual,Manual,First_Owner,18.6,1.197,81.86,5.0,International,0,7.2
37.0,Diesel,Individual,Manual,First_Owner,28.09,1.248,88.5,5.0,Domestic,3,8.0
14.0,Petrol,Individual,Manual,First_Owner,20.3,1.199,84.0,5.0,Domestic,1,5.2
70.0,Diesel,Individual,Manual,First_Owner,20.77,1.248,88.76,7.0,Domestic,5,5.8
50.0,Petrol,Individual,Manual,First_Owner,17.4,1.497,117.3,5.0,International,5,6.0
60.0,Petrol,Individual,Manual,Second_Owner,19.4,1.198,86.8,5.0,International,6,2.9
50.0,CNG,Individual,Manual,First_Owner,26.6,0.998,58.16,5.0,Domestic,4,3.6
50.0,Petrol,Individual,Manual,First_Owner,20.85,1.197,83.14,5.0,Domestic,3,5.5
70.0,Petrol,Individual,Manual,First_Owner,18.5,1.197,82.85,5.0,International,7,3.75
35.0,Petrol,Individual,Automatic,First_Owner,20.51,0.998,67.0,5.0,Domestic,2,4.2
20.0,Petrol,Individual,Manual,First_Owner,21.21,1.197,81.8,5.0,Domestic,3,5.5
20.0,Petrol,Individual,Manual,First_Owner,24.7,0.796,47.3,5.0,Domestic,2,2.7
7.8,Petrol,Individual,Automatic,First_Owner,22.0,1.197,81.8,5.0,Domestic,2,7.0
20.0,Petrol,Individual,Manual,First_Owner,20.4,1.197,81.8,5.0,Domestic,3,5.0
15.0,Diesel,Individual,Manual,First_Owner,17.6,2.179,147.94,7.0,Domestic,1,12.5
31.377,Petrol,Individual,Manual,Second_Owner,18.5,1.197,82.85,5.0,International,7,3.2
50.0,Diesel,Individual,Manual,First_Owner,28.4,1.248,74.02,5.0,Domestic,2,7.0
60.0,Petrol,Individual,Manual,First_Owner,20.51,0.998,67.04,5.0,Domestic,5,2.9
100.0,Petrol,Individual,Automatic,First_Owner,14.53,1.794,138.1,5.0,International,8,5.5
60.0,Petrol,Individual,Manual,First_Owner,19.4,1.198,86.8,5.0,International,8,2.65
5.0,Petrol,Individual,Automatic,First_Owner,21.4,1.197,83.1,5.0,Domestic,2,8.3
60.0,Diesel,Individual,Manual,First_Owner,14.1,2.179,147.94,7.0,Domestic,3,8.0
25.0,Petrol,Individual,Manual,Second_Owner,19.7,0.796,46.3,5.0,Domestic,9,1.6
30.0,Petrol,Individual,Manual,First_Owner,25.17,0.799,53.3,5.0,International,2,3.35
80.0,Petrol,Individual,Manual,Second_Owner,20.63,1.198,67.0,5.0,International,3,3.29
75.0,Diesel,Individual,Manual,First_Owner,24.3,1.248,88.5,5.0,Domestic,3,7.75
32.0,Petrol,Individual,Manual,First_Owner,20.14,1.197,81.86,5.0,International,0,5.24
40.0,Petrol,Individual,Manual,First_Owner,22.74,0.796,47.3,5.0,Domestic,5,2.45
93.0,Petrol,Individual,Manual,Second_Owner,17.0,1.197,80.0,5.0,International,8,2.75
60.0,Petrol,Individual,Manual,First_Owner,17.57,1.193,88.7,5.0,Domestic,2,5.2
37.0,Petrol,Individual,Manual,First_Owner,16.95,1.498,97.7,5.0,International,6,5.5
15.0,Petrol,Individual,Manual,First_Owner,17.0,1.497,121.36,5.0,International,2,9.1
80.0,Petrol,Individual,Manual,First_Owner,19.49,1.198,67.04,5.0,International,5,3.0
140.0,Petrol,Individual,Manual,First_Owner,20.51,0.998,67.04,5.0,Domestic,4,3.5
70.0,Diesel,Individual,Manual,First_Owner,12.83,2.696,162.0,7.0,Domestic,7,9.0
120.0,Diesel,Individual,Manual,Second_Owner,17.21,1.493,100.0,7.0,Domestic,7,3.0
110.0,Diesel,Individual,Manual,Second_Owner,21.1,1.248,73.9,5.0,Domestic,10,2.5
37.0,Diesel,Individual,Manual,First_Owner,19.67,1.582,126.2,5.0,International,3,11.0
44.0,Petrol,Individual,Manual,First_Owner,25.17,0.799,53.3,5.0,International,4,2.7
80.0,Diesel,Individual,Manual,First_Owner,20.77,1.248,88.76,7.0,Domestic,5,6.4
125.0,Diesel,Individual,Manual,First_Owner,15.1,2.179,140.0,7.0,Domestic,5,6.5
13.5,Petrol,Individual,Manual,First_Owner,15.37,1.196,73.0,5.0,Domestic,3,4.09999
75.0,Petrol,Individual,Manual,First_Owner,17.92,1.086,62.1,5.0,International,9,1.65
120.0,Petrol,Individual,Manual,Second_Owner,13.2,1.495,94.0,5.0,International,13,0.8
120.0,Diesel,Individual,Manual,First_Owner,15.1,2.179,140.0,7.0,Domestic,8,5.35
70.0,Diesel,Individual,Manual,First_Owner,12.99,2.494,100.57,7.0,International,7,7.0
70.0,Diesel,Individual,Manual,First_Owner,23.4,1.248,74.0,5.0,Domestic,7,5.5
15.0,Petrol,Individual,Automatic,First_Owner,19.0,1.199,88.76,5.0,International,1,6.8
53.0,Petrol,Individual,Manual,Second_Owner,20.36,1.197,78.9,5.0,International,11,2.0
120.0,Diesel,Individual,Manual,Second_Owner,23.4,1.248,74.0,5.0,Domestic,6,5.0
70.0,Diesel,Individual,Manual,First_Owner,24.52,1.248,88.5,7.0,Domestic,4,10.0
120.0,Petrol,Individual,Manual,Second_Owner,14.2,1.341,82.9,5.0,International,12,1.1
100.0,Petrol,Individual,Manual,Second_Owner,18.5,1.197,80.0,5.0,International,8,3.2
100.0,Petrol,Individual,Manual,First_Owner,20.4,1.197,83.11,5.0,Domestic,5,3.5
162.5,Diesel,Individual,Manual,First_Owner,19.4,1.405,70.0,5.0,Domestic,7,1.7
39.0,Diesel,Individual,Manual,First_Owner,22.54,1.396,88.73,5.0,International,3,8.0
75.0,Diesel,Individual,Manual,First_Owner,26.8,1.248,74.0,5.0,Domestic,3,5.0
50.0,Diesel,Individual,Automatic,First_Owner,17.6,2.179,153.86,7.0,Domestic,3,13.8
40.0,Diesel,Individual,Manual,First_Owner,17.3,1.497,121.0,8.0,Domestic,1,13.0
92.5,Diesel,Individual,Manual,First_Owner,22.32,1.582,126.3,5.0,International,7,5.3
158.0,Diesel,Individual,Manual,First_Owner,23.4,1.248,74.0,5.0,Domestic,8,3.6
120.0,Diesel,Individual,Manual,First_Owner,19.3,1.248,73.9,5.0,Domestic,8,3.1
50.0,Diesel,Individual,Manual,Second_Owner,26.0,1.498,98.6,5.0,International,5,7.25
110.0,Diesel,Individual,Manual,First_Owner,19.3,1.248,73.9,5.0,Domestic,8,3.4
2.0,Diesel,Individual,Manual,Second_Owner,25.4,1.186,73.97,5.0,International,3,5.5
181.0,Diesel,Individual,Manual,Second_Owner,11.5,2.982,171.0,7.0,International,9,11.5
70.0,Diesel,Individual,Manual,First_Owner,27.28,1.047,69.0,5.0,Domestic,4,3.8
90.0,Petrol,Individual,Automatic,Second_Owner,17.97,1.498,99.6,5.0,International,7,3.5
2.0,Petrol,Individual,Manual,First_Owner,18.6,1.197,81.86,5.0,International,1,6.1
20.0,Petrol,Individual,Manual,First_Owner,20.85,1.197,83.14,5.0,Domestic,5,5.25
120.0,Diesel,Individual,Manual,First_Owner,12.8,2.494,102.0,7.0,International,9,4.8
35.0,Diesel,Individual,Manual,First_Owner,16.55,2.498,105.0,6.0,Domestic,3,7.8
193.0,Diesel,Individual,Manual,First_Owner,19.3,1.248,73.9,5.0,Domestic,8,3.2
80.0,Petrol,Individual,Manual,First_Owner,20.4,1.197,81.8,5.0,Domestic,6,3.75
40.0,Petrol,Individual,Manual,First_Owner,19.02,1.198,67.05,5.0,International,1,3.0
70.0,Diesel,Individual,Manual,>Two_Owners,22.54,1.396,88.73,5.0,International,5,5.0
122.358,Diesel,Individual,Manual,First_Owner,12.05,2.179,120.0,9.0,Domestic,9,4.04
75.0,Diesel,Individual,Manual,First_Owner,14.07,2.956,69.01,7.0,Domestic,5,5.0
120.0,Diesel,Individual,Manual,First_Owner,27.28,1.047,69.0,5.0,Domestic,3,3.5
40.0,Petrol,Individual,Manual,First_Owner,17.57,1.193,88.7,5.0,Domestic,5,3.8
95.2,Petrol,Individual,Manual,>Two_Owners,13.2,1.495,94.0,5.0,International,12,1.14999
33.033,Petrol,Dealer,Manual,First_Owner,19.4,1.198,86.8,5.0,International,6,3.35
63.063,Petrol,Dealer,Automatic,First_Owner,18.9,1.197,82.0,5.0,International,5,4.65
60.0,Diesel,Individual,Manual,First_Owner,21.02,1.248,88.76,5.0,Domestic,8,2.9
45.0,Petrol,Individual,Manual,Second_Owner,19.7,0.796,46.3,5.0,Domestic,15,1.1
80.0,Diesel,Individual,Manual,>Two_Owners,11.57,2.179,138.1,7.0,Domestic,9,4.5
170.0,Diesel,Individual,Manual,Second_Owner,13.6,2.523,63.0,7.0,Domestic,11,4.0
207.89,Diesel,Individual,Manual,Second_Owner,13.6,2.523,63.0,7.0,Domestic,13,2.1
7.976,Diesel,Individual,Automatic,First_Owner,17.9,2.143,170.0,5.0,International,2,46.0
35.0,Petrol,Individual,Manual,First_Owner,16.8,0.796,34.2,8.0,Domestic,4,2.2
35.0,Petrol,Individual,Manual,First_Owner,18.9,1.197,82.0,5.0,International,3,4.5
35.0,Petrol,Individual,Manual,First_Owner,18.9,1.197,82.0,5.0,International,3,4.5
